Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,ECO00029,7.53402,7.49446,7.59336,7.45491,7.65269,Y,Y,N,N,0,0,N,N,1,81
LOGZ,ECO00029,8.26219,8.20285,8.28197,8.14352,8.32152,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00031,7.23075,7.17141,7.37579,7.10549,7.48128,Y,Y,N,N,0.00002,0,N,N,1,35
LOGZ,ECO00031,8.37427,8.31493,8.55887,8.24241,8.67095,Y,Y,N,N,0,0,N,N,1,154
LOGQ,ECO00032,7.35601,7.27031,7.45491,7.20438,7.5538,Y,Y,N,N,0,0,N,N,1,54
LOGZ,ECO00032,8.26219,8.23582,8.44679,8.1633,8.59842,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00034,7.44831,7.39557,7.53402,7.34283,7.63291,Y,Y,N,N,0,0,N,N,1,68
LOGZ,ECO00034,8.26219,8.1633,8.31493,8.08418,8.42042,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00035,7.34283,7.25053,7.42853,7.19119,7.52743,Y,Y,N,N,0,0,N,N,2,52
LOGZ,ECO00035,8.29515,8.2556,8.45997,8.19626,8.59183,Y,Y,N,N,0,0,N,N,1,142
LOGQ,ECO00036,7.6461,7.56698,7.71862,7.51424,7.79114,Y,Y,N,N,0,0,N,N,1,98
LOGZ,ECO00036,8.26219,8.20285,8.31493,8.14352,8.39405,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00037,7.46809,7.42194,7.52083,7.38238,7.56698,Y,Y,N,N,0,0,N,N,1,71
LOGZ,ECO00037,8.26219,8.18307,8.28856,8.11715,8.3413,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00039,7.15164,7.0923,7.30327,7.02637,7.43513,Y,Y,N,N,0.0077,0,N,N,1,23
LOGZ,ECO00039,8.36108,8.30175,8.56546,8.22263,8.69732,Y,Y,N,N,0,0,N,N,1,152
LOGQ,ECO00042,7.42194,7.3692,7.51424,7.30986,7.59995,Y,Y,N,N,0,0,N,N,1,64
LOGZ,ECO00042,8.33471,8.28856,8.45997,8.23582,8.56546,Y,Y,N,N,0,0,N,N,1,148
LOGQ,ECO00048,7.38898,7.29668,7.50106,7.21097,7.61313,Y,Y,N,N,0,0,N,N,1,59
LOGZ,ECO00048,8.3479,8.28856,8.5259,8.21604,8.64457,Y,Y,N,N,0,0,N,N,1,150
LOGQ,ECO00050,7.24394,7.19779,7.36261,7.14504,7.46809,Y,Y,N,N,0,0,N,N,1,37
LOGZ,ECO00050,8.26219,8.20945,8.37427,8.14352,8.5259,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00051,7.5538,7.50106,7.72521,7.42853,7.86366,Y,Y,N,N,0,0,N,N,1,84
LOGZ,ECO00051,8.26219,8.22263,8.42042,8.14352,8.55227,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00052,7.13186,7.08571,7.24394,7.03956,7.36261,Y,Y,N,N,0.00227,0,N,N,1,20
LOGZ,ECO00052,8.26219,8.23582,8.46657,8.1633,8.63139,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00054,7.4615,7.40216,7.5538,7.34942,7.65269,Y,Y,N,N,0,0,N,N,1,70
LOGZ,ECO00054,8.26219,8.13033,8.30175,8.05122,8.40723,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00055,7.44172,7.38238,7.56039,7.31646,7.69884,Y,Y,N,N,0,0,N,N,1,67
LOGZ,ECO00055,8.26219,8.19626,8.38086,8.12374,8.53909,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00058,7.42194,7.3692,7.51424,7.31646,7.61313,Y,Y,N,N,0,0,N,N,1,64
LOGZ,ECO00058,8.26219,8.16989,8.3413,8.09078,8.47975,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00060,7.50106,7.45491,7.5538,7.41535,7.61973,Y,Y,N,N,0,0,N,N,1,76
LOGZ,ECO00060,8.26219,8.21604,8.30175,8.16989,8.35449,Y,Y,N,N,0,0,N,N,1,137
