Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,rs1294,7.00581,7.00581,7.20025,-inf,7.34428,Y,Y,N,N,0.07274,0.00000,N,N,1,4
LOGZ,rs1294,-0.09454,-0.18684,0.00435,-0.26595,0.09665,Y,Y,N,N,0.00000,0.00000,N,N,1,183
