Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,rf0242,7.21465,7.10663,7.52433,7.01301,7.76918,Y,Y,N,N,0.00727,0.00000,N,N,1,33
LOGZ,rf0242,-0.09454,-0.18684,0.08347,-0.27255,0.18895,Y,Y,N,N,0.00000,0.00001,N,N,1,183
