Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,ECO07948,7.15557,7.08414,7.36986,7.04843,7.51271,Y,Y,N,N,0.02298,0.00000,N,N,1,5
LOGZ,ECO07948,-0.51635,-0.58174,-0.32018,-0.64713,-0.12401,Y,Y,N,N,0.00000,0.00000,N,N,1,24
LOGQ,ECO07953,6.97700,-inf,7.22700,-inf,7.40557,Y,Y,Y,N,0.39604,0.00000,N,N,1,0
LOGZ,ECO07953,-0.35287,-0.45096,-0.12401,-0.54904,0.03947,Y,Y,N,N,0.00000,0.00001,N,N,1,29
LOGQ,ECO07955,6.97700,-inf,7.22700,-inf,7.36986,Y,Y,Y,N,0.40569,0.00000,N,N,1,0
LOGZ,ECO07955,-0.35287,-0.45096,-0.12401,-0.51635,0.00677,Y,Y,N,N,0.00000,0.00000,N,N,1,29
LOGQ,ECO07959,6.97700,-inf,7.26271,-inf,7.40557,Y,Y,Y,N,0.34051,0.00000,N,N,1,0
LOGZ,ECO07959,-0.32018,-0.41826,-0.05862,-0.48365,0.07216,Y,Y,N,N,0.00000,0.00000,N,N,1,30
LOGQ,ECO07960,7.54843,7.44129,7.72700,7.36986,7.86986,Y,Y,N,N,0.00000,0.00000,N,N,1,16
LOGZ,ECO07960,-0.74521,-0.84330,-0.58174,-0.90869,-0.35287,Y,Y,N,N,0.00000,0.00000,N,N,1,17
LOGQ,ECO07961,7.15557,7.08414,7.33414,7.04843,7.51271,Y,Y,N,N,0.02293,0.00000,N,N,1,5
LOGZ,ECO07961,-0.51635,-0.61443,-0.35287,-0.67982,-0.15670,Y,Y,N,N,0.00000,0.00000,N,N,1,24
LOGQ,ECO07964,7.22700,7.11986,7.44129,7.04843,7.58414,Y,Y,N,N,0.00796,0.00000,N,N,1,7
LOGZ,ECO07964,-0.45096,-0.51635,-0.22209,-0.58174,-0.05862,Y,Y,N,N,0.00000,0.00000,N,N,1,26
LOGQ,ECO07965,7.36986,7.29843,7.51271,7.22700,7.61986,Y,Y,N,N,0.00000,0.00000,N,N,1,11
LOGZ,ECO07965,-0.54904,-0.64713,-0.41826,-0.74521,-0.28748,Y,Y,N,N,0.00000,0.00000,N,N,1,23
LOGQ,ECO07967,6.97700,7.01271,7.33414,-inf,7.51271,N,Y,Y,N,0.29541,0.00000,N,N,1,0
LOGZ,ECO07967,-0.45096,-0.51635,-0.12401,-0.58174,0.03947,Y,Y,N,N,0.00000,0.00000,N,N,1,26
LOGQ,ECO07969,7.26271,7.08414,7.51271,-inf,7.69129,Y,Y,N,N,0.08949,0.00000,N,N,2,8
LOGZ,ECO07969,0.13755,-0.05862,0.23564,-0.32018,inf,Y,Y,N,N,0.00000,0.10896,N,N,1,44
LOGQ,ECO07970,7.26271,7.11986,7.36986,7.01271,7.51271,Y,Y,N,N,0.03537,0.00000,N,N,2,8
LOGZ,ECO07970,-0.28748,-0.38557,-0.15670,-0.45096,-0.05862,Y,Y,N,N,0.00000,0.00000,N,N,1,31
LOGQ,ECO07973,7.26271,7.15557,7.36986,7.08414,7.51271,Y,Y,N,N,0.00225,0.00000,N,N,1,8
