Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGZ,ECO11429,0.03947,-0.38557,0.07216,-0.51635,0.13755,Y,Y,N,N,0.00000,0.00000,N,N,2,41
LOGQ,ECO11445,7.19129,7.11986,7.40557,7.04843,7.58414,Y,Y,N,N,0.01171,0.00000,N,N,1,6
LOGZ,ECO11445,-0.51635,-0.58174,-0.32018,-0.67982,-0.15670,Y,Y,N,N,0.00000,0.00000,N,N,1,24
LOGQ,ECO11447,7.08414,7.04843,7.54843,-inf,7.69129,Y,Y,N,N,0.09436,0.00000,N,N,2,3
LOGZ,ECO11447,-0.41826,-0.48365,-0.05862,-0.54904,0.00677,Y,Y,N,N,0.00000,0.00000,N,N,2,27
LOGQ,ECO11449,7.26271,7.15557,7.44129,7.08414,7.61986,Y,Y,N,N,0.00059,0.00000,N,N,1,8
LOGZ,ECO11449,-0.61443,-0.67982,-0.41826,-0.74521,-0.22209,Y,Y,N,N,0.00000,0.00000,N,N,1,21
LOGQ,ECO11450,7.11986,7.01271,7.29843,-inf,7.44129,Y,Y,N,N,0.17353,0.00000,N,N,1,4
LOGZ,ECO11450,-0.05862,-0.18940,0.00677,-0.28748,0.07216,Y,Y,N,N,0.00000,0.00000,N,N,1,38
LOGQ,ECO11451,7.33414,7.22700,7.47700,7.11986,7.54843,Y,Y,N,N,0.00235,0.00000,N,N,1,10
LOGZ,ECO11451,-0.12401,-0.18940,-0.02592,-0.22209,0.00677,Y,Y,N,N,0.00000,0.00001,N,N,1,36
LOGQ,ECO11455,6.97700,7.04843,7.47700,-inf,7.61986,N,Y,Y,N,0.15379,0.00000,N,N,2,0
LOGZ,ECO11455,0.00677,-0.35287,0.03947,-0.48365,0.10486,Y,Y,N,N,0.00000,0.00000,N,N,3,40
LOGQ,ECO11457,7.11986,7.08414,7.33414,7.01271,7.51271,Y,Y,N,N,0.06291,0.00000,N,N,1,4
LOGZ,ECO11457,-0.48365,-0.54904,-0.28748,-0.64713,-0.12401,Y,Y,N,N,0.00000,0.00000,N,N,1,25
LOGQ,ECO11465,7.11986,7.04843,7.26271,-inf,7.36986,Y,Y,N,N,0.15483,0.00000,N,N,1,4
LOGZ,ECO11465,-0.22209,-0.32018,-0.12401,-0.38557,-0.05862,Y,Y,N,N,0.00000,0.00000,N,N,1,33
LOGQ,ECO11468,6.97700,7.01271,7.33414,-inf,7.51271,N,Y,Y,N,0.22790,0.00000,N,N,1,0
LOGZ,ECO11468,-0.05862,-0.28748,0.03947,-0.41826,0.10486,Y,Y,N,N,0.00000,0.00003,N,N,1,38
LOGQ,ECO11471,6.97700,7.01271,7.36986,-inf,7.51271,N,Y,Y,N,0.26396,0.00000,N,N,1,0
LOGZ,ECO11471,-0.35287,-0.41826,-0.05862,-0.51635,0.03947,Y,Y,N,N,0.00000,0.00000,N,N,2,29
LOGQ,ECO11474,7.29843,7.19129,7.44129,7.11986,7.58414,Y,Y,N,N,0.00005,0.00000,N,N,1,9
LOGZ,ECO11474,-0.48365,-0.58174,-0.32018,-0.64713,-0.18940,Y,Y,N,N,0.00000,0.00000,N,N,1,25
LOGQ,ECO11475,7.04843,7.01271,7.33414,-inf,7.51271,Y,Y,Y,N,0.22826,0.00000,N,N,1,2
LOGZ,ECO11475,-0.48365,-0.54904,-0.22209,-0.61443,-0.05862,Y,Y,N,N,0.00000,0.00000,N,N,1,25
LOGQ,ECO11479,7.04843,7.01271,7.54843,-inf,7.69129,Y,Y,Y,N,0.18213,0.00000,N,N,2,2
LOGZ,ECO11479,-0.48365,-0.54904,-0.05862,-0.61443,0.03947,Y,Y,N,N,0.00000,0.00000,N,N,2,25
