Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
AGNFRAC,ECO11351,0.14286,0.10204,0.65306,0.02041,0.93878,Y,Y,N,N,0.05171,0.01257,N,N,1,7
LOGQ,ECO11351,6.97700,-inf,7.15557,-inf,7.36986,Y,Y,Y,N,0.50416,0.00000,Y,N,1,0
LOGZ,ECO11351,-0.51635,-0.61443,-0.32018,-0.67982,-0.12401,Y,Y,N,N,0.00000,0.00121,N,N,1,24
AGNFRAC,ECO11353,0.00000,0.02041,0.26531,-inf,0.46939,N,Y,Y,N,0.25490,0.00040,N,N,1,0
LOGQ,ECO11353,7.01271,7.08414,7.79843,-inf,8.11986,N,Y,Y,N,0.10174,0.00020,N,N,2,1
LOGZ,ECO11353,0.30103,-0.45096,0.20294,-0.54904,inf,N,Y,N,Y,0.00000,0.10119,N,N,3,49
AGNFRAC,ECO11366,0.14286,0.10204,0.69388,-inf,0.93878,Y,Y,N,N,0.05891,0.01521,N,N,1,7
LOGQ,ECO11366,7.26271,7.15557,7.47700,7.08414,7.83414,Y,Y,N,N,0.00663,0.00010,N,N,1,8
LOGZ,ECO11366,-0.71252,-0.77791,-0.51635,-0.84330,-0.18940,Y,Y,N,N,0.00000,0.00226,N,N,1,18
AGNFRAC,ECO11370,0.00000,0.08163,0.69388,-inf,0.93878,N,Y,Y,N,0.07483,0.01504,N,N,1,0
LOGQ,ECO11370,6.97700,-inf,7.15557,-inf,7.36986,Y,Y,Y,N,0.58240,0.00000,Y,N,1,0
LOGZ,ECO11370,-0.61443,-0.67982,-0.41826,-0.77791,-0.22209,Y,Y,N,N,0.00000,0.00105,N,N,1,21
AGNFRAC,ECO11372,0.00000,0.04082,0.42857,-inf,0.81633,N,Y,Y,N,0.14418,0.00388,N,N,1,0
LOGQ,ECO11372,7.04843,7.01271,7.29843,-inf,7.72700,Y,Y,Y,N,0.25317,0.00001,N,N,1,2
LOGZ,ECO11372,-0.58174,-0.64713,-0.38557,-0.71252,0.07216,Y,Y,N,N,0.00000,0.00690,N,N,2,22
AGNFRAC,ECO11373,0.53061,0.28571,0.83673,0.08163,0.97959,Y,Y,N,N,0.00909,0.03556,N,N,1,26
LOGQ,ECO11373,7.15557,7.08414,7.33414,7.01271,7.58414,Y,Y,N,N,0.05035,0.00000,N,N,1,5
LOGZ,ECO11373,-0.67982,-0.74521,-0.54904,-0.84330,-0.38557,Y,Y,N,N,0.00000,0.00016,N,N,1,19
AGNFRAC,ECO11375,0.04082,0.04082,0.46939,-inf,0.81633,Y,Y,Y,N,0.11495,0.00426,N,N,1,2
LOGQ,ECO11375,7.15557,7.08414,7.40557,7.01271,7.76271,Y,Y,N,N,0.06631,0.00002,N,N,1,5
LOGZ,ECO11375,-0.58174,-0.64713,-0.38557,-0.71252,-0.05862,Y,Y,N,N,0.00000,0.00263,N,N,1,22
AGNFRAC,ECO11387,0.00000,-inf,0.20408,-inf,0.42857,Y,Y,Y,N,0.32408,0.00037,N,N,1,0
LOGQ,ECO11387,6.97700,-inf,7.22700,-inf,7.47700,Y,Y,Y,N,0.38160,0.00000,N,N,1,0
LOGZ,ECO11387,-0.25479,-0.35287,0.03947,-0.45096,0.23564,Y,Y,N,N,0.00000,0.01838,N,N,2,32
AGNFRAC,ECO11429,0.00000,-inf,0.20408,-inf,0.36735,Y,Y,Y,N,0.30572,0.00022,N,N,1,0
LOGQ,ECO11429,6.97700,7.04843,7.61986,-inf,7.83414,N,Y,Y,N,0.13779,0.00000,N,N,2,0
LOGZ,ECO11429,0.23564,-0.38557,0.23564,-0.51635,inf,Y,Y,N,Y,0.00000,0.13724,N,N,3,47
AGNFRAC,ECO11445,0.00000,0.04082,0.40816,-inf,0.75510,N,Y,Y,N,0.15241,0.00278,N,N,1,0
LOGQ,ECO11445,7.11986,7.04843,7.36986,-inf,7.76271,Y,Y,N,N,0.11306,0.00003,N,N,1,4
LOGZ,ECO11445,-0.58174,-0.64713,-0.38557,-0.71252,-0.02592,Y,Y,N,N,0.00000,0.00344,N,N,1,22
AGNFRAC,ECO11447,0.00000,0.02041,0.28571,-inf,0.55102,N,Y,Y,N,0.26705,0.00063,N,N,1,0
