Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,ECO02006,7.24346,7.16424,7.36589,7.10663,7.55313,Y,Y,N,N,0.00000,0.00000,N,N,1,37
LOGZ,ECO02006,8.17100,8.09848,8.30945,8.02595,8.49405,Y,Y,N,N,0.00000,0.00000,N,N,1,108
LOGQ,ECO02007,7.25786,7.19305,7.38029,7.12823,7.54593,Y,Y,N,N,0.00000,0.00000,N,N,1,39
LOGZ,ECO02007,8.23693,8.17100,8.35560,8.10507,8.50723,Y,Y,N,N,0.00000,0.00000,N,N,1,118
LOGQ,ECO02010,7.16424,7.11383,7.32268,7.05622,7.49552,Y,Y,N,N,0.00008,0.00000,N,N,1,26
LOGZ,ECO02010,8.31604,8.23693,8.42152,8.16440,8.56657,Y,Y,N,N,0.00000,0.00000,N,N,1,130
LOGQ,ECO02011,7.20745,7.14264,7.35149,7.08502,7.53153,Y,Y,N,N,0.00001,0.00000,N,N,1,32
LOGZ,ECO02011,8.05892,7.99299,8.19078,7.92047,8.33582,Y,Y,N,N,0.00000,0.00000,N,N,1,91
LOGQ,ECO02012,7.25786,7.19305,7.43070,7.12823,7.71157,Y,Y,N,N,0.00000,0.00000,N,N,1,39
LOGZ,ECO02012,8.17100,8.11166,8.31604,8.03914,8.55338,Y,Y,N,N,0.00000,0.00000,N,N,1,108
LOGQ,ECO02013,7.32268,7.23626,7.45231,7.14984,7.57474,Y,Y,N,N,0.00000,0.00000,N,N,1,48
LOGZ,ECO02013,8.44130,8.34241,8.48745,8.25011,8.55997,Y,Y,N,N,0.00000,0.00000,N,N,1,149
LOGQ,ECO02014,6.97700,7.01301,7.33708,-inf,7.50992,N,Y,Y,N,0.05788,0.00000,N,N,1,0
LOGZ,ECO02014,8.36878,8.34241,8.72480,8.27648,8.85006,Y,Y,N,N,0.00000,0.00000,N,N,2,138
LOGQ,ECO02015,7.20745,7.16424,7.34428,7.10663,7.48832,Y,Y,N,N,0.00000,0.00000,N,N,2,32
LOGZ,ECO02015,8.24352,8.18418,8.36878,8.11825,8.50723,Y,Y,N,N,0.00000,0.00000,N,N,1,119
LOGQ,ECO02016,7.50272,7.42350,7.62515,7.35869,7.78358,Y,Y,N,N,0.00000,0.00000,N,N,1,73
LOGZ,ECO02016,8.11166,8.05233,8.27648,7.97980,8.42812,Y,Y,N,N,0.00000,0.00000,N,N,1,99
LOGQ,ECO02017,7.20745,7.10663,7.44511,7.01301,7.75478,Y,Y,N,N,0.00668,0.00000,N,N,2,32
LOGZ,ECO02017,8.21055,8.11166,8.36878,8.01277,8.64568,Y,Y,N,N,0.00000,0.00000,N,N,1,114
