Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGZ,ECO04985,-0.35287,-0.45096,-0.18940,-0.51635,-0.09131,Y,Y,N,N,0.00000,0.00000,N,N,1,29
LOGQ,ECO04990,7.22700,7.04843,7.40557,-inf,7.54843,Y,Y,N,N,0.15307,0.00000,N,N,2,7
LOGZ,ECO04990,0.03947,-0.28748,0.03947,-0.41826,0.13755,Y,Y,N,N,0.00000,0.00000,N,N,2,41
LOGQ,ECO04993,7.04843,-inf,7.19129,-inf,7.29843,Y,Y,Y,N,0.36519,0.00000,N,N,1,2
LOGZ,ECO04993,-0.28748,-0.38557,-0.15670,-0.45096,-0.05862,Y,Y,N,N,0.00000,0.00000,N,N,1,31
LOGQ,ECO04995,7.22700,7.04843,7.40557,-inf,7.61986,Y,Y,N,N,0.11834,0.00000,N,N,2,7
LOGZ,ECO04995,0.10486,-0.12401,0.17025,-0.28748,0.23564,Y,Y,N,N,0.00000,0.01353,N,N,1,43
LOGQ,ECO04996,6.97700,7.01271,7.26271,-inf,7.40557,N,Y,Y,N,0.26180,0.00000,N,N,1,0
LOGZ,ECO04996,0.03947,-0.25479,0.07216,-0.38557,0.13755,Y,Y,N,N,0.00000,0.00001,N,N,2,41
LOGQ,ECO04997,7.04843,7.01271,7.19129,-inf,7.33414,Y,Y,Y,N,0.31822,0.00000,N,N,1,2
LOGZ,ECO04997,-0.22209,-0.32018,-0.09131,-0.38557,0.00677,Y,Y,N,N,0.00000,0.00000,N,N,1,33
LOGQ,ECO04998,7.11986,7.04843,7.33414,-inf,7.44129,Y,Y,N,N,0.15745,0.00000,N,N,1,4
LOGZ,ECO04998,-0.02592,-0.12401,0.07216,-0.22209,0.17025,Y,Y,N,N,0.00000,0.00125,N,N,1,39
LOGQ,ECO05001,7.26271,7.11986,7.44129,7.04843,7.65557,Y,Y,N,N,0.02319,0.00000,N,N,1,8
LOGZ,ECO05001,-0.09131,-0.22209,0.00677,-0.28748,0.10486,Y,Y,N,N,0.00000,0.00006,N,N,1,37
LOGQ,ECO05003,7.11986,7.01271,7.22700,-inf,7.33414,Y,Y,N,N,0.19067,0.00000,N,N,1,4
LOGZ,ECO05003,-0.09131,-0.18940,0.00677,-0.25479,0.07216,Y,Y,N,N,0.00000,0.00000,N,N,1,37
LOGQ,ECO05004,7.51271,7.29843,7.69129,7.11986,7.86986,Y,Y,N,N,0.00813,0.00000,N,N,1,15
LOGZ,ECO05004,0.23564,0.13755,inf,0.00677,inf,Y,Y,N,Y,0.00000,0.43761,N,N,1,47
LOGQ,ECO05006,7.11986,7.04843,7.26271,-inf,7.33414,Y,Y,N,N,0.10817,0.00000,N,N,1,4
LOGZ,ECO05006,-0.05862,-0.15670,0.00677,-0.18940,0.07216,Y,Y,N,N,0.00000,0.00000,N,N,1,38
LOGQ,ECO05010,7.08414,7.01271,7.22700,-inf,7.36986,Y,Y,N,N,0.23940,0.00000,N,N,1,3
LOGZ,ECO05010,-0.41826,-0.48365,-0.25479,-0.54904,-0.12401,Y,Y,N,N,0.00000,0.00000,N,N,1,27
LOGQ,ECO05013,7.44129,7.33414,7.58414,7.29843,7.69129,Y,Y,N,N,0.00000,0.00000,N,N,1,13
LOGZ,ECO05013,-0.64713,-0.71252,-0.48365,-0.77791,-0.35287,Y,Y,N,N,0.00000,0.00000,N,N,1,20
LOGQ,ECO05014,7.11986,7.04843,7.22700,7.01271,7.29843,Y,Y,N,N,0.09231,0.00000,N,N,1,4
LOGZ,ECO05014,-0.12401,-0.15670,-0.02592,-0.22209,0.00677,Y,Y,N,N,0.00000,0.00000,N,N,1,36
LOGQ,ECO05015,7.11986,7.04843,7.29843,-inf,7.40557,Y,Y,N,N,0.11277,0.00000,N,N,1,4
LOGZ,ECO05015,-0.09131,-0.18940,0.00677,-0.22209,0.07216,Y,Y,N,N,0.00000,0.00000,N,N,1,37
LOGQ,ECO05016,7.44129,7.11986,7.58414,7.01271,7.72700,Y,Y,N,N,0.04489,0.00000,N,N,2,13
LOGZ,ECO05016,0.03947,-0.28748,0.07216,-0.38557,0.17025,Y,Y,N,N,0.00000,0.00007,N,N,2,41
LOGQ,ECO05020,7.22700,7.04843,7.40557,-inf,7.54843,Y,Y,N,N,0.13671,0.00000,N,N,2,7
LOGZ,ECO05020,-0.02592,-0.28748,0.03947,-0.38557,0.10486,Y,Y,N,N,0.00000,0.00000,N,N,2,39
LOGQ,ECO05024,6.97700,7.01271,7.29843,-inf,7.54843,N,Y,Y,N,0.24663,0.00000,N,N,1,0
LOGZ,ECO05024,0.10486,-0.15670,0.17025,-0.35287,0.23564,Y,Y,N,N,0.00000,0.02321,N,N,1,43
LOGQ,ECO05028,7.01271,-inf,7.15557,-inf,7.26271,Y,Y,Y,N,0.42869,0.00000,N,N,1,1
LOGZ,ECO05028,-0.05862,-0.15670,0.00677,-0.22209,0.07216,Y,Y,N,N,0.00000,0.00000,N,N,1,38
LOGQ,ECO05031,7.22700,7.04843,7.40557,-inf,7.54843,Y,Y,N,N,0.13671,0.00000,N,N,2,7
LOGZ,ECO05031,-0.02592,-0.28748,0.03947,-0.38557,0.10486,Y,Y,N,N,0.00000,0.00000,N,N,2,39
LOGQ,ECO05035,7.44129,7.22700,7.61986,7.01271,7.76271,Y,Y,N,N,0.03056,0.00000,N,N,2,13
LOGZ,ECO05035,0.13755,-0.02592,0.20294,-0.25479,0.23564,Y,Y,N,N,0.00000,0.01777,N,N,1,44
LOGQ,ECO05038,7.04843,7.01271,7.26271,-inf,7.40557,Y,Y,Y,N,0.25488,0.00000,N,N,1,2
LOGZ,ECO05038,-0.38557,-0.48365,-0.22209,-0.54904,-0.05862,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,ECO05039,7.11986,7.04843,7.33414,-inf,7.47700,Y,Y,N,N,0.14112,0.00000,N,N,1,4
LOGZ,ECO05039,-0.28748,-0.38557,-0.09131,-0.45096,0.00677,Y,Y,N,N,0.00000,0.00000,N,N,1,31
LOGQ,ECO05040,7.26271,7.11986,7.40557,7.01271,7.58414,Y,Y,N,N,0.03921,0.00000,N,N,1,8
LOGZ,ECO05040,0.23564,0.13755,0.26833,0.03947,inf,Y,Y,N,Y,0.00000,0.41883,N,N,1,47
LOGQ,ECO05041,6.97700,7.01271,7.33414,-inf,7.51271,N,Y,Y,N,0.24793,0.00000,N,N,1,0
LOGZ,ECO05041,0.03947,-0.28748,0.07216,-0.38557,0.17025,Y,Y,N,N,0.00000,0.00267,N,N,2,41
LOGQ,ECO05042,7.58414,7.15557,7.69129,7.01271,7.83414,Y,Y,N,N,0.05416,0.00000,N,N,3,17
LOGZ,ECO05042,0.07216,-0.32018,0.10486,-0.45096,0.17025,Y,Y,N,N,0.00000,0.00000,N,N,2,42
LOGQ,ECO05045,7.51271,7.36986,7.65557,7.19129,7.79843,Y,Y,N,N,0.00320,0.00000,N,N,1,15
LOGZ,ECO05045,0.23564,0.17025,0.26833,0.07216,inf,Y,Y,N,Y,0.00000,0.45619,N,N,1,47
LOGQ,ECO05047,7.44129,7.19129,7.58414,-inf,7.69129,Y,Y,N,N,0.05398,0.00000,N,N,2,13
LOGZ,ECO05047,0.13755,-0.09131,0.20294,-0.35287,0.23564,Y,Y,N,N,0.00000,0.01119,N,N,2,44
LOGQ,ECO05053,7.26271,7.11986,7.51271,-inf,7.76271,Y,Y,N,N,0.06575,0.00000,N,N,1,8
LOGZ,ECO05053,0.20294,0.03947,0.26833,-0.15670,inf,Y,Y,N,Y,0.00000,0.16006,N,N,1,46
LOGQ,ECO05054,7.36986,7.29843,7.44129,7.22700,7.47700,Y,Y,N,N,0.00000,0.00000,N,N,1,11
LOGZ,ECO05054,-0.12401,-0.15670,-0.05862,-0.18940,-0.02592,Y,Y,N,N,0.00000,0.00000,N,N,1,36
LOGQ,ECO05057,7.08414,7.01271,7.26271,-inf,7.40557,Y,Y,N,N,0.18128,0.00000,N,N,1,3
LOGZ,ECO05057,-0.38557,-0.45096,-0.22209,-0.54904,-0.09131,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,ECO05060,7.19129,7.11986,7.33414,7.08414,7.44129,Y,Y,N,N,0.00183,0.00000,N,N,1,6
LOGZ,ECO05060,-0.41826,-0.51635,-0.28748,-0.58174,-0.18940,Y,Y,N,N,0.00000,0.00000,N,N,1,27
LOGQ,ECO05061,7.29843,7.22700,7.44129,7.15557,7.51271,Y,Y,N,N,0.00000,0.00000,N,N,1,9
LOGZ,ECO05061,-0.41826,-0.51635,-0.32018,-0.58174,-0.22209,Y,Y,N,N,0.00000,0.00000,N,N,1,27
LOGQ,ECO05068,7.22700,7.11986,7.40557,7.04843,7.54843,Y,Y,N,N,0.01800,0.00000,N,N,1,7
LOGZ,ECO05068,-0.35287,-0.41826,-0.15670,-0.48365,-0.05862,Y,Y,N,N,0.00000,0.00000,N,N,1,29
LOGQ,ECO05069,7.19129,7.11986,7.33414,7.04843,7.40557,Y,Y,N,N,0.00974,0.00000,N,N,1,6
LOGZ,ECO05069,-0.38557,-0.45096,-0.25479,-0.51635,-0.15670,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,ECO05070,7.11986,7.04843,7.26271,7.01271,7.36986,Y,Y,N,N,0.08082,0.00000,N,N,1,4
LOGZ,ECO05070,-0.41826,-0.48365,-0.28748,-0.54904,-0.15670,Y,Y,N,N,0.00000,0.00000,N,N,1,27
LOGQ,ECO05075,7.22700,7.11986,7.44129,7.01271,7.54843,Y,Y,N,N,0.03084,0.00000,N,N,1,7
LOGZ,ECO05075,-0.28748,-0.38557,-0.09131,-0.45096,0.00677,Y,Y,N,N,0.00000,0.00000,N,N,1,31
LOGQ,ECO05080,7.36986,7.29843,7.51271,7.22700,7.65557,Y,Y,N,N,0.00000,0.00000,N,N,1,11
LOGZ,ECO05080,-0.48365,-0.54904,-0.32018,-0.61443,-0.18940,Y,Y,N,N,0.00000,0.00000,N,N,1,25
LOGQ,ECO05086,7.15557,7.11986,7.33414,7.04843,7.44129,Y,Y,N,N,0.01102,0.00000,N,N,1,5
LOGZ,ECO05086,-0.45096,-0.54904,-0.32018,-0.61443,-0.18940,Y,Y,N,N,0.00000,0.00000,N,N,1,26
LOGQ,ECO05090,7.01271,7.01271,7.22700,-inf,7.44129,Y,Y,Y,N,0.32301,0.00000,N,N,1,1
LOGZ,ECO05090,-0.35287,-0.45096,-0.18940,-0.51635,0.00677,Y,Y,N,N,0.00000,0.00001,N,N,1,29
LOGQ,ECO05093,6.97700,-inf,7.15557,-inf,7.26271,Y,Y,Y,N,0.54336,0.00000,Y,N,1,0
LOGZ,ECO05093,-0.32018,-0.41826,-0.18940,-0.48365,-0.09131,Y,Y,N,N,0.00000,0.00000,N,N,1,30
LOGQ,ECO05096,7.04843,7.01271,7.22700,-inf,7.40557,Y,Y,Y,N,0.26113,0.00000,N,N,1,2
LOGZ,ECO05096,-0.25479,-0.32018,-0.12401,-0.41826,0.00677,Y,Y,N,N,0.00000,0.00001,N,N,1,32
LOGQ,ECO05099,7.11986,7.04843,7.26271,-inf,7.36986,Y,Y,N,N,0.12605,0.00000,N,N,1,4
LOGZ,ECO05099,-0.22209,-0.28748,-0.12401,-0.35287,-0.02592,Y,Y,N,N,0.00000,0.00000,N,N,1,33
LOGQ,ECO05100,7.22700,7.04843,7.36986,-inf,7.51271,Y,Y,N,N,0.15098,0.00000,N,N,2,7
LOGZ,ECO05100,0.07216,-0.22209,0.10486,-0.35287,0.17025,Y,Y,N,N,0.00000,0.00001,N,N,1,42
LOGQ,ECO05103,7.33414,7.22700,7.51271,7.15557,7.65557,Y,Y,N,N,0.00001,0.00000,N,N,1,10
LOGZ,ECO05103,-0.41826,-0.51635,-0.25479,-0.58174,-0.12401,Y,Y,N,N,0.00000,0.00000,N,N,1,27
LOGQ,ECO05104,7.08414,7.01271,7.22700,-inf,7.33414,Y,Y,N,N,0.17731,0.00000,N,N,1,3
LOGZ,ECO05104,-0.32018,-0.38557,-0.18940,-0.45096,-0.12401,Y,Y,N,N,0.00000,0.00000,N,N,1,30
LOGQ,ECO05106,7.26271,7.19129,7.40557,7.11986,7.54843,Y,Y,N,N,0.00041,0.00000,N,N,1,8
LOGZ,ECO05106,-0.48365,-0.58174,-0.35287,-0.64713,-0.18940,Y,Y,N,N,0.00000,0.00000,N,N,1,25
LOGQ,ECO05108,7.19129,7.11986,7.36986,7.04843,7.51271,Y,Y,N,N,0.00865,0.00000,N,N,1,6
LOGZ,ECO05108,-0.41826,-0.51635,-0.25479,-0.58174,-0.12401,Y,Y,N,N,0.00000,0.00000,N,N,1,27
LOGQ,ECO05114,7.29843,7.22700,7.40557,7.15557,7.54843,Y,Y,N,N,0.00001,0.00000,N,N,1,9
LOGZ,ECO05114,-0.51635,-0.58174,-0.38557,-0.64713,-0.25479,Y,Y,N,N,0.00000,0.00000,N,N,1,24
LOGQ,ECO05115,7.69129,7.58414,7.86986,7.47700,8.01271,Y,Y,N,N,0.00000,0.00000,N,N,1,20
LOGZ,ECO05115,-0.58174,-0.67982,-0.41826,-0.74521,-0.28748,Y,Y,N,N,0.00000,0.00000,N,N,1,22
LOGQ,ECO05118,7.04843,7.01271,7.22700,-inf,7.36986,Y,Y,Y,N,0.26751,0.00000,N,N,1,2
LOGZ,ECO05118,-0.02592,-0.15670,0.07216,-0.25479,0.13755,Y,Y,N,N,0.00000,0.00000,N,N,1,39
LOGQ,ECO05120,7.22700,7.08414,7.40557,7.01271,7.58414,Y,Y,N,N,0.05458,0.00000,N,N,1,7
LOGZ,ECO05120,-0.09131,-0.22209,0.03947,-0.28748,0.10486,Y,Y,N,N,0.00000,0.00006,N,N,1,37
LOGQ,ECO05121,6.97700,-inf,7.19129,-inf,7.33414,Y,Y,Y,N,0.42922,0.00000,N,N,1,0
LOGZ,ECO05121,-0.18940,-0.28748,-0.02592,-0.38557,0.07216,Y,Y,N,N,0.00000,0.00016,N,N,1,34
LOGQ,ECO05122,7.19129,7.08414,7.36986,7.01271,7.51271,Y,Y,N,N,0.06700,0.00000,N,N,1,6
LOGZ,ECO05122,-0.22209,-0.32018,-0.05862,-0.38557,0.03947,Y,Y,N,N,0.00000,0.00000,N,N,1,33
LOGQ,ECO05128,7.54843,7.44129,7.65557,7.36986,7.72700,Y,Y,N,N,0.00000,0.00000,N,N,1,16
LOGZ,ECO05128,-0.38557,-0.48365,-0.32018,-0.54904,-0.22209,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,ECO05130,7.04843,7.01271,7.26271,-inf,7.40557,Y,Y,Y,N,0.22883,0.00000,N,N,1,2
LOGZ,ECO05130,-0.32018,-0.41826,-0.15670,-0.48365,-0.02592,Y,Y,N,N,0.00000,0.00000,N,N,1,30
LOGQ,ECO05134,7.44129,7.19129,7.54843,7.01271,7.69129,Y,Y,N,N,0.02912,0.00000,N,N,1,13
LOGZ,ECO05134,0.03947,-0.22209,0.07216,-0.35287,0.13755,Y,Y,N,N,0.00000,0.00000,N,N,1,41
LOGQ,ECO05138,6.97700,7.01271,7.33414,-inf,7.54843,N,Y,Y,N,0.23180,0.00000,N,N,1,0
LOGZ,ECO05138,-0.05862,-0.25479,0.07216,-0.35287,0.20294,Y,Y,N,N,0.00000,0.00440,N,N,1,38
LOGQ,ECO05143,7.11986,7.04843,7.22700,7.01271,7.29843,Y,Y,N,N,0.07991,0.00000,N,N,1,4
LOGZ,ECO05143,-0.05862,-0.12401,0.00677,-0.15670,0.03947,Y,Y,N,N,0.00000,0.00000,N,N,1,38
LOGQ,ECO05144,6.97700,-inf,7.15557,-inf,7.29843,Y,Y,Y,N,0.52074,0.00000,Y,N,1,0
LOGZ,ECO05144,-0.12401,-0.25479,-0.02592,-0.32018,0.07216,Y,Y,N,N,0.00000,0.00032,N,N,1,36
LOGQ,ECO05149,7.11986,7.04843,7.29843,-inf,7.44129,Y,Y,N,N,0.11311,0.00000,N,N,1,4
LOGZ,ECO05149,-0.35287,-0.45096,-0.22209,-0.51635,-0.09131,Y,Y,N,N,0.00000,0.00000,N,N,1,29
LOGQ,ECO05150,7.01271,-inf,7.22700,-inf,7.44129,Y,Y,Y,N,0.34164,0.00000,N,N,1,1
LOGZ,ECO05150,-0.15670,-0.25479,0.00677,-0.32018,0.13755,Y,Y,N,N,0.00000,0.00058,N,N,1,35
LOGQ,ECO05151,7.19129,7.11986,7.40557,7.04843,7.58414,Y,Y,N,N,0.02310,0.00000,N,N,1,6
LOGZ,ECO05151,-0.38557,-0.48365,-0.18940,-0.54904,-0.05862,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,ECO05153,7.29843,7.11986,7.47700,-inf,7.61986,Y,Y,N,N,0.05758,0.00000,N,N,1,9
LOGZ,ECO05153,0.17025,0.00677,0.23564,-0.18940,0.26833,Y,Y,N,N,0.00000,0.06604,N,N,1,45
LOGQ,ECO05158,7.04843,7.01271,7.19129,-inf,7.33414,Y,Y,Y,N,0.29898,0.00000,N,N,1,2
LOGZ,ECO05158,-0.41826,-0.48365,-0.25479,-0.54904,-0.15670,Y,Y,N,N,0.00000,0.00000,N,N,1,27
LOGQ,ECO05163,6.97700,-inf,7.19129,-inf,7.29843,Y,Y,Y,N,0.40896,0.00000,N,N,1,0
LOGZ,ECO05163,-0.05862,-0.25479,0.03947,-0.35287,0.10486,Y,Y,N,N,0.00000,0.00000,N,N,1,38
LOGQ,ECO05166,7.26271,7.08414,7.44129,-inf,7.54843,Y,Y,N,N,0.07574,0.00000,N,N,1,8
LOGZ,ECO05166,0.10486,-0.09131,0.13755,-0.25479,0.20294,Y,Y,N,N,0.00000,0.00047,N,N,1,43
LOGQ,ECO05171,7.40557,7.33414,7.54843,7.26271,7.61986,Y,Y,N,N,0.00000,0.00000,N,N,1,12
LOGZ,ECO05171,-0.09131,-0.15670,-0.02592,-0.18940,0.03947,Y,Y,N,N,0.00000,0.00000,N,N,1,37
LOGQ,ECO05173,7.22700,7.08414,7.44129,-inf,7.58414,Y,Y,N,N,0.08175,0.00000,N,N,1,7
