Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
AGNFRAC,ECO00069,0.38776,0.18367,0.81633,0.02041,0.97959,Y,Y,N,N,0.02562,0.02859,N,N,1,19
LOGQ,ECO00069,7.22697,7.11983,7.40554,7.04840,7.61983,Y,Y,N,N,0.01049,0.00003,N,N,1,7
LOGZ,ECO00069,-0.77791,-0.84330,-0.64713,-0.90869,-0.51635,Y,Y,N,N,0.00000,0.00007,N,N,2,16
AGNFRAC,ECO00073,0.26531,0.12245,0.69388,0.02041,0.93878,Y,Y,N,N,0.04602,0.01429,N,N,1,13
LOGQ,ECO00073,7.26268,7.19126,7.51268,7.08411,7.83411,Y,Y,N,N,0.00297,0.00026,N,N,1,8
LOGZ,ECO00073,-0.67982,-0.74521,-0.51635,-0.81060,-0.35287,Y,Y,N,N,0.00000,0.00025,N,N,2,19
AGNFRAC,ECO00102,0.00000,0.04082,0.46939,-inf,0.83673,N,Y,Y,N,0.13738,0.00470,N,N,1,0
LOGQ,ECO00102,6.97697,-inf,7.19126,-inf,7.61983,Y,Y,Y,N,0.53603,0.00016,Y,N,1,0
LOGZ,ECO00102,-0.58174,-0.64713,-0.45096,-0.71252,-0.22209,Y,Y,N,N,0.00000,0.00262,N,N,2,22
AGNFRAC,ECO00103,0.34694,0.14286,0.71429,0.02041,0.93878,Y,Y,N,N,0.03715,0.01425,N,N,1,17
LOGQ,ECO00103,7.90554,7.76268,8.22697,7.65554,8.54840,Y,Y,N,N,0.00000,0.00645,N,N,1,26
LOGZ,ECO00103,-0.97408,-1.07216,-0.84330,-1.13755,-0.67982,Y,Y,N,N,0.00012,0.00000,N,N,2,10
AGNFRAC,ECO00105,0.53061,0.24490,0.85714,0.06122,0.97959,Y,Y,N,N,0.01523,0.03765,N,N,1,26
LOGQ,ECO00105,7.11983,7.04840,7.29840,-inf,7.47697,Y,Y,N,N,0.12234,0.00000,N,N,1,4
LOGZ,ECO00105,-0.81060,-0.87599,-0.67982,-0.94138,-0.54904,Y,Y,N,N,0.00000,0.00001,N,N,2,15
AGNFRAC,ECO00117,0.00000,0.04082,0.40816,-inf,0.77551,N,Y,Y,N,0.15940,0.00326,N,N,1,0
LOGQ,ECO00117,7.01268,-inf,7.33411,-inf,8.36983,Y,Y,Y,N,0.35644,0.00332,N,N,1,1
LOGZ,ECO00117,-0.58174,-0.64713,-0.38557,-0.67982,0.13755,Y,Y,N,N,0.00000,0.00888,N,N,3,22
AGNFRAC,ECO00124,0.00000,0.04082,0.46939,-inf,0.83673,N,Y,Y,N,0.12662,0.00513,N,N,1,0
LOGQ,ECO00124,7.26268,7.19126,7.58411,7.08411,8.29840,Y,Y,N,N,0.00324,0.00284,N,N,1,8
LOGZ,ECO00124,-0.67982,-0.74521,-0.51635,-0.81060,-0.15670,Y,Y,N,N,0.00000,0.00056,N,N,2,19
AGNFRAC,ECO00139,0.20408,0.10204,0.71429,-inf,0.95918,Y,Y,N,N,0.05365,0.01632,N,N,1,10
LOGQ,ECO00139,7.51268,7.40554,7.79840,7.33411,8.15554,Y,Y,N,N,0.00000,0.00116,N,N,1,15
LOGZ,ECO00139,-0.81060,-0.87599,-0.61443,-0.94138,-0.41826,Y,Y,N,N,0.00000,0.00005,N,N,2,15
AGNFRAC,ECO00141,0.26531,0.12245,0.71429,0.02041,0.95918,Y,Y,N,N,0.04755,0.01630,N,N,1,13
LOGQ,ECO00141,7.08411,7.01268,7.26268,-inf,7.47697,Y,Y,N,N,0.20424,0.00001,N,N,1,3
