Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,ECO00025,7.38749,7.33708,7.75478,7.25066,7.96363,Y,Y,N,N,0,0,N,N,1,57
LOGZ,ECO00025,8.2633,8.19737,8.57975,8.11825,8.77095,Y,Y,N,N,0,0,N,N,1,122
LOGQ,ECO00027,7.4307,7.37309,7.56753,7.30828,7.66836,Y,Y,N,N,0,0,N,N,1,63
LOGZ,ECO00027,8.24352,8.17759,8.37537,8.11166,8.48745,Y,Y,N,N,0,0,N,N,1,119
LOGQ,ECO00028,7.34428,7.29387,7.56753,7.21465,7.77638,Y,Y,N,N,0,0,N,N,1,51
LOGZ,ECO00028,8.25011,8.18418,8.4479,8.11166,8.65227,Y,Y,N,N,0,0,N,N,1,120
LOGQ,ECO00029,7.56033,7.48112,7.67556,7.4091,7.78358,Y,Y,N,N,0,0,N,N,1,81
LOGZ,ECO00029,8.19078,8.11166,8.31604,8.03914,8.43471,Y,Y,N,N,0,0,N,N,1,111
LOGQ,ECO00030,7.48832,7.4091,7.66116,7.32988,7.81239,Y,Y,N,N,0,0,N,N,1,71
LOGZ,ECO00030,8.26989,8.19737,8.42152,8.11825,8.54679,Y,Y,N,N,0,0,N,N,1,123
LOGQ,ECO00031,7.20025,7.12103,7.45231,7.03461,7.64675,Y,Y,N,N,0.00175,0,N,N,1,31
LOGZ,ECO00031,8.46767,8.39515,8.69183,8.30945,8.83687,Y,Y,N,N,0,0,N,N,1,153
LOGQ,ECO00032,7.25066,7.18585,7.46671,7.10663,7.68276,Y,Y,N,N,0,0,N,N,1,38
LOGZ,ECO00032,8.30945,8.24352,8.52042,8.1644,8.73139,Y,Y,N,N,0,0,N,N,1,129
LOGQ,ECO00033,7.38749,7.31548,7.50272,7.24346,7.59634,Y,Y,N,N,0,0,N,N,1,57
LOGZ,ECO00033,8.49405,8.41493,8.59953,8.34241,8.67865,Y,Y,N,N,0,0,N,N,1,157
LOGQ,ECO00034,7.34428,7.28667,7.49552,7.22186,7.65395,Y,Y,N,N,0,0,N,N,1,51
LOGZ,ECO00034,8.19737,8.12485,8.33582,8.05892,8.48745,Y,Y,N,N,0,0,N,N,1,112
LOGQ,ECO00035,7.25066,7.17865,7.45231,7.09943,7.63955,Y,Y,N,N,0,0,N,N,1,38
LOGZ,ECO00035,8.38197,8.31604,8.55997,8.24352,8.7182,Y,Y,N,N,0,0,N,N,1,140
LOGQ,ECO00036,7.58914,7.50992,7.76198,7.4235,7.90601,Y,Y,N,N,0,0,N,N,1,85
LOGZ,ECO00036,8.2633,8.19078,8.41493,8.11166,8.5402,Y,Y,N,N,0,0,N,N,1,122
LOGQ,ECO00037,7.4307,7.36589,7.57474,7.30107,7.68996,Y,Y,N,N,0,0,N,N,1,63
LOGZ,ECO00037,8.14463,8.0787,8.28967,8.01277,8.42812,Y,Y,N,N,0,0,N,N,1,104
LOGQ,ECO00038,7.36589,7.27947,7.61795,7.17865,7.79799,Y,Y,N,N,0,0,N,N,1,54
LOGZ,ECO00038,8.46108,8.36878,8.66546,8.26989,8.79072,Y,Y,N,N,0,0,N,N,1,152
LOGQ,ECO00039,7.07782,7.04181,7.34428,6.9914,7.57474,Y,Y,N,N,0.02474,0,N,N,1,14
LOGZ,ECO00039,8.4479,8.36878,8.65887,8.27648,8.85006,Y,Y,N,N,0,0,N,N,1,150
LOGQ,ECO00040,7.67556,7.56033,7.8556,7.45231,7.99963,Y,Y,N,N,0,0,N,N,1,97
LOGZ,ECO00040,8.46767,8.3556,8.59294,8.2633,8.68524,Y,Y,N,N,0,0,N,N,1,153
LOGQ,ECO00042,7.35149,7.28667,7.51712,7.20745,7.66116,Y,Y,N,N,0,0,N,N,1,52
LOGZ,ECO00042,8.43471,8.36219,8.56657,8.29626,8.67205,Y,Y,N,N,0,0,N,N,1,148
LOGQ,ECO00048,7.31548,7.23626,7.60354,7.13544,7.79799,Y,Y,N,N,0,0,N,N,1,47
LOGZ,ECO00048,8.4479,8.36219,8.67865,8.26989,8.81709,Y,Y,N,N,0,0,N,N,1,150
LOGQ,ECO00050,7.14984,7.09943,7.28667,7.04902,7.4235,Y,Y,N,N,0.00024,0,N,N,1,24
LOGZ,ECO00050,8.27648,8.21055,8.40834,8.13803,8.54679,Y,Y,N,N,0,0,N,N,1,124
LOGQ,ECO00051,7.50272,7.4235,7.834,7.32268,8.05005,Y,Y,N,N,0,0,N,N,1,73
LOGZ,ECO00051,8.36878,8.28307,8.61272,8.17759,8.75117,Y,Y,N,N,0,0,N,N,1,138
LOGQ,ECO00052,7.04902,7.02021,7.21465,6.9842,7.4019,Y,Y,N,N,0.03941,0,N,N,1,10
LOGZ,ECO00052,8.30285,8.23693,8.47427,8.15781,8.67865,Y,Y,N,N,0,0,N,N,1,128
LOGQ,ECO00054,7.35869,7.30107,7.53153,7.23626,7.70437,Y,Y,N,N,0,0,N,N,1,53
LOGZ,ECO00054,8.13803,8.0787,8.28967,8.01277,8.45449,Y,Y,N,N,0,0,N,N,1,103
LOGQ,ECO00055,7.30828,7.24346,7.49552,7.16424,7.73317,Y,Y,N,N,0,0,N,N,1,46
LOGZ,ECO00055,8.30285,8.22374,8.4479,8.14463,8.61931,Y,Y,N,N,0,0,N,N,1,128
LOGQ,ECO00058,7.30828,7.25066,7.45231,7.17865,7.61074,Y,Y,N,N,0,0,N,N,1,46
LOGZ,ECO00058,8.1644,8.09188,8.30945,8.01277,8.46767,Y,Y,N,N,0,0,N,N,1,107
LOGQ,ECO00060,7.45231,7.3947,7.58914,7.33708,7.68276,Y,Y,N,N,0,0,N,N,1,66
LOGZ,ECO00060,8.28967,8.21055,8.39515,8.14463,8.49405,Y,Y,N,N,0,0,N,N,1,126
LOGQ,ECO00061,7.13544,7.09223,7.23626,7.04902,7.32988,Y,Y,N,N,0.00007,0,N,N,1,22
LOGZ,ECO00061,8.3556,8.24352,8.41493,8.171,8.52701,Y,Y,N,N,0,0,N,N,1,136
LOGQ,ECO00062,7.12103,7.09223,7.60354,7.00581,7.82679,Y,Y,N,N,0.00798,0,N,N,1,20
LOGZ,ECO00062,8.40834,8.3556,8.81709,8.2567,8.92258,Y,Y,N,N,0,0,N,N,2,144
LOGQ,ECO00063,7.72597,7.4019,7.82679,7.20025,7.94202,Y,Y,N,N,0,0,N,N,1,104
LOGZ,ECO00063,8.68524,8.4479,8.75776,8.30285,8.83687,Y,Y,N,N,0,0,N,N,1,186
LOGQ,ECO00064,7.26507,7.18585,7.48832,7.09223,7.64675,Y,Y,N,N,0.00003,0,N,N,1,40
LOGZ,ECO00064,8.46767,8.38856,8.64568,8.30285,8.77095,Y,Y,N,N,0,0,N,N,1,153
LOGQ,ECO00067,7.34428,7.28667,7.56753,7.21465,7.78358,Y,Y,N,N,0,0,N,N,1,51
LOGZ,ECO00067,8.26989,8.20396,8.46108,8.13144,8.65227,Y,Y,N,N,0,0,N,N,1,123
LOGQ,ECO00068,7.35869,7.30107,7.48112,7.24346,7.59634,Y,Y,N,N,0,0,N,N,1,53
LOGZ,ECO00068,8.23693,8.171,8.36878,8.09848,8.48745,Y,Y,N,N,0,0,N,N,1,118
LOGQ,ECO00069,7.35869,7.30107,7.45951,7.25066,7.56753,Y,Y,N,N,0,0,N,N,1,53
LOGZ,ECO00069,8.23693,8.15122,8.349,8.08529,8.46108,Y,Y,N,N,0,0,N,N,1,118
LOGQ,ECO00070,7.13544,7.08502,7.30828,7.02741,7.53153,Y,Y,N,N,0.0016,0,N,N,1,22
LOGZ,ECO00070,8.2567,8.18418,8.42152,8.10507,8.6259,Y,Y,N,N,0,0,N,N,1,121
LOGQ,ECO00071,7.45951,7.35869,7.61795,7.27947,7.74037,Y,Y,N,N,0,0,N,N,1,67
LOGZ,ECO00071,8.40175,8.31604,8.5336,8.23693,8.63909,Y,Y,N,N,0,0,N,N,1,143
LOGQ,ECO00073,7.4235,7.36589,7.56033,7.30828,7.66836,Y,Y,N,N,0,0,N,N,1,62
LOGZ,ECO00073,8.33582,8.24352,8.41493,8.171,8.51382,Y,Y,N,N,0,0,N,N,1,133
LOGQ,ECO00077,7.04902,7.01301,7.18585,6.9842,7.29387,Y,Y,N,N,0.04493,0,N,N,1,10
LOGZ,ECO00077,8.42152,8.3556,8.55338,8.28967,8.65887,Y,Y,N,N,0,0,N,N,1,146
LOGQ,ECO00078,7.43791,7.18585,7.56033,7.07062,7.69716,Y,Y,N,N,0.0004,0,N,N,1,64
LOGZ,ECO00078,8.5336,8.43471,8.73139,8.34241,8.83028,Y,Y,N,N,0,0,N,N,2,163
LOGQ,ECO00079,7.20025,7.10663,7.35869,7.03461,7.49552,Y,Y,N,N,0.00147,0,N,N,1,31
LOGZ,ECO00079,8.4413,8.36878,8.59294,8.29626,8.71161,Y,Y,N,N,0,0,N,N,1,149
LOGQ,ECO00080,7.25066,7.14264,7.48832,7.04902,7.70437,Y,Y,N,N,0.00128,0,N,N,1,38
LOGZ,ECO00080,8.46108,8.38197,8.67205,8.28967,8.83028,Y,Y,N,N,0,0,N,N,1,152
LOGQ,ECO00081,7.20745,7.09223,7.4307,7.00581,7.59634,Y,Y,N,N,0.00984,0,N,N,1,32
LOGZ,ECO00081,8.67865,8.57975,8.84347,8.48745,8.92917,Y,Y,N,N,0,0,N,N,1,185
LOGQ,ECO00082,7.12103,7.06342,7.30107,7.00581,7.44511,Y,Y,N,N,0.00724,0,N,N,1,20
LOGZ,ECO00082,8.42812,8.36878,8.5336,8.30945,8.6259,Y,Y,N,N,0,0,N,N,1,147
LOGQ,ECO00083,7.29387,7.19305,7.4307,7.09943,7.54593,Y,Y,N,N,0.00002,0,N,N,1,44
