Line,Galaxy Name,In_lhood?,Obs,Model,Resid_Stds,Obs_S/N
sii6731,ECO00010,Y,0.49654,0.42212,0.57539,3.83895
hbeta,ECO00011,Y,1.00000,1.00000,0.00000,5.44613
oiii4959,ECO00011,Y,-0.28883,0.18862,-3.08878,-1.86852
oiii5007,ECO00011,Y,0.81066,0.56278,1.48325,4.85074
oi6300,ECO00011,Y,-0.20354,0.09425,-2.67044,-1.82524
nii6548,ECO00011,Y,0.12607,0.13521,-0.25730,3.54586
halpha,ECO00011,Y,2.86000,2.80068,0.41563,20.03761
nii6584,ECO00011,Y,0.37920,0.39860,-0.18086,3.53612
sii6717,ECO00011,Y,0.99931,0.75990,1.80704,7.54279
sii6731,ECO00011,Y,0.91694,0.57698,1.19470,3.22233
hbeta,ECO00012,Y,1.00000,1.00000,0.00000,17.71562
oiii4959,ECO00012,Y,0.33234,0.37481,-0.85560,6.69492
oiii5007,ECO00012,Y,1.47610,1.11830,5.84161,24.09990
oi6300,ECO00012,Y,0.10322,0.06752,0.87686,2.53544
nii6548,ECO00012,Y,0.16439,0.13766,1.87880,11.55729
halpha,ECO00012,Y,2.86000,2.79630,1.04066,46.72569
nii6584,ECO00012,Y,0.49288,0.40582,2.02942,11.48869
sii6717,ECO00012,Y,0.72502,0.62013,2.39537,16.55669
sii6731,ECO00012,Y,0.47704,0.47098,0.10613,8.35529
hbeta,ECO00013,Y,1.00000,1.00000,0.00000,10.73497
oiii4959,ECO00013,Y,0.35134,0.34769,0.04188,4.03794
oiii5007,ECO00013,Y,1.53936,1.03737,4.89705,15.01698
oi6300,ECO00013,Y,0.16361,0.06499,1.69332,2.80925
nii6548,ECO00013,Y,0.08365,0.08550,-0.11191,5.03323
halpha,ECO00013,Y,2.86000,2.80134,0.69356,33.81323
nii6584,ECO00013,Y,0.25184,0.25205,-0.00422,5.02423
sii6717,ECO00013,Y,0.77366,0.52065,2.59874,7.94637
sii6731,ECO00013,Y,0.49962,0.39569,1.38911,6.67809
hbeta,ECO00014,Y,1.00000,1.00000,0.00000,8.83803
oiii4959,ECO00014,Y,0.28345,0.28347,-0.00022,2.90899
oiii5007,ECO00014,Y,1.03140,0.84578,1.85117,10.28571
oi6300,ECO00014,Y,0.09755,0.07368,0.32477,1.32716
nii6548,ECO00014,Y,0.11170,0.09339,0.83048,5.06722
halpha,ECO00014,Y,2.86000,2.80248,0.54814,27.25543
nii6584,ECO00014,Y,0.33566,0.27531,0.90769,5.04837
sii6717,ECO00014,Y,0.95259,0.57861,0.18386,0.46831
sii6731,ECO00014,Y,0.42484,0.43958,-0.19165,5.52348
hbeta,ECO00015,Y,1.00000,1.00000,0.00000,8.52936
oiii4959,ECO00015,Y,0.28717,0.23760,0.44302,2.56650
oiii5007,ECO00015,Y,0.79257,0.70892,0.73385,6.95341
oi6300,ECO00015,Y,0.21088,0.08394,1.36002,2.25941
nii6548,ECO00015,Y,0.13504,0.11319,0.89535,5.53153
halpha,ECO00015,Y,2.86000,2.80159,0.57072,27.94733
